WAVY01:ATIVO:[DADOS_METEO]:0001-01-01 00:00:00
WAVY02:INATIVO:[DADOS_SENSORES]:0001-01-01 00:00:00
opp:operação:[default]:0001-01-01 00:00:00
nln:operacao:[default]:0001-01-01 00:00:00
uii:operacao:[default]:0001-01-01 00:00:00
uutah:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
ffgg:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
vvn:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
bbl:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
tyy:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
ssd:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
zcv:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
nnb:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
ubi:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
suga:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
llm:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
aac:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
uuo:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
rry:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
iip:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
opaca:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
ala:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
hhhlo:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
wono:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
vmv:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
a:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
dff:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
mar:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
saxo:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
olx:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
log:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
llacy:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
wlach:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
yyyp:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
simp:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
ttth:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
fds:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
vaidar:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:0001-01-01 00:00:00
aAZZX:operacao:[Hs,Hmax,Tz,Tp,Peak Direction,SST]:2025-04-08 15:26:19
